OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
127,11001008410,219939,0,Census Tract 84.10,District of Columbia,District of Columbia,153500,14250,,,183393,21783,,,,,52105,7687,,,209141,27380,,,,,183214,19876,170625,28250,166250,132364,570,55,51,28,519,64,8.9,4.835818577,363672.8239,2998.617531,363672.8281,2998.617531
128,11001008701,382686,0,Census Tract 87.01,District of Columbia,District of Columbia,113224,26074,,,144491,35306,77750,30788,61795,26084,69875,21212,,,,,,,,,,,158036,23192,,,877,87,74,43,803,82,8.4,4.831099934,632995.6061,3476.814998,632995.6094,3476.814998
129,11001008702,490159,0,Census Tract 87.02,District of Columbia,District of Columbia,79446,5971,79196,43247,97330,10448,37813,14430,30774,7821,53173,15620,,,70625,16730,,,,,68929,52616,111458,10928,95208,71406,1495,100,137,62,1358,118,9.2,4.101607287,810792.2692,4801.329216,810792.2461,4801.329216
130,11001008802,468578,0,Census Tract 88.02,District of Columbia,District of Columbia,67176,14738,103490,57090,109375,8433,44559,31425,33750,6725,44442,18232,,,,,,,,,,,116705,13497,,,1791,130,168,63,1623,148,9.4,3.451064589,774853.4764,3641.496079,774853.4727,3641.496079
131,11001008803,1165234,0,Census Tract 88.03,District of Columbia,District of Columbia,32250,6399,2499,,35833,18451,19931,18725,,,30189,6537,,,,,,,63750,27850,,,,,62039,12080,683,57,67,38,616,67,9.8,5.503128508,1927222.525,6846.516891,1927222.512,6846.516891
132,11001008804,778052,0,Census Tract 88.04,District of Columbia,District of Columbia,42750,10411,,,62955,28151,41094,13918,25260,11582,40292,9839,,,,,,,,,,,115278,67384,40820,37337,1236,121,79,59,1157,121,6.4,4.732275306,1286840.564,5079.713784,1286840.582,5079.713784
133,11001008903,305651,0,Census Tract 89.03,District of Columbia,District of Columbia,44174,14711,,,51007,25343,24326,24077,43900,14434,36767,20519,,,,,,,,,,,95896,8501,,,1525,126,174,109,1351,155,11.4,7.085099281,505436.5838,3743.378376,505436.5664,3743.378376
134,11001008904,449343,0,Census Tract 89.04,District of Columbia,District of Columbia,38277,6153,,,46212,7818,30625,12927,,,36577,6273,,,123462,86334,,,,,,,83043,11004,,,1744,133,60,55,1684,142,3.4,3.142737034,742986.131,4034.662895,742986.1367,4034.662895
135,11001009000,1427115,31550,Census Tract 90,District of Columbia,District of Columbia,59487,15688,,,102011,20621,97928,88634,20987,6306,55188,27601,,,,,,,,,,,242841,191008,80781,30512,2092,95,68,49,2024,100,3.3,2.337600506,2395429.981,6971.588853,2395429.98,6971.588853
136,11001009102,1815597,0,Census Tract 91.02,District of Columbia,District of Columbia,43919,4617,,,45143,8772,49405,31027,39792,21234,41223,6371,,,,,,,57708,6068,231094,190097,138359,82302,,,2042,78,161,84,1881,119,7.9,4.10257465,3003570.736,8137.965822,3003570.75,8137.965822
137,11001009201,633995,0,Census Tract 92.01,District of Columbia,District of Columbia,82500,12229,,,102132,13559,99286,58369,51786,27843,53646,8502,,,117717,69232,,,36429,17447,,,134792,35204,37143,9271,1058,66,153,51,905,76,14.5,4.735249709,1049122.301,4301.018134,1049122.305,4301.018134
138,11001009203,581087,0,Census Tract 92.03,District of Columbia,District of Columbia,72750,29811,50625,16718,91250,25380,100926,43148,19886,13865,50903,22917,,,,,,,,,103594,14255,107125,60121,105511,27647,1235,90,169,78,1066,122,13.7,6.236563891,961387.6469,4435.25858,961387.668,4435.25858
139,11001009204,308466,0,Census Tract 92.04,District of Columbia,District of Columbia,21150,13196,,,47328,21599,,,15108,5102,19211,3004,,,,,,,47292,29935,,,85417,35550,46417,43378,1331,106,31,26,1300,105,2.3,1.944592158,510366.1552,3273.44579,510366.1602,3273.44579
140,11001009301,1104952,0,Census Tract 93.01,District of Columbia,District of Columbia,97813,17311,,,199531,81584,106226,14858,53409,32626,72236,18328,,,154231,99753,,,,,,,211406,38526,,,1182,75,163,66,1019,89,13.8,5.5147701,1828543.462,5896.386107,1828543.445,5896.386107
141,11001009302,391905,0,Census Tract 93.02,District of Columbia,District of Columbia,73603,12890,2499,,159500,63116,64596,11859,17647,15525,62941,30370,,,,,,,,,,,163438,57788,75375,36382,545,54,29,20,516,59,5.3,3.631653915,648450.9443,3520.53695,648450.9492,3520.53695
142,11001009400,1582882,0,Census Tract 94,District of Columbia,District of Columbia,96953,14925,,,138000,38964,101719,25972,62550,9324,77316,22988,,,,,,,,,,,165000,17607,,,1627,117,66,39,1561,131,4.1,2.379233411,2619909.532,7071.357064,2619909.5,7071.357064
143,11001009501,1589556,0,Census Tract 95.01,District of Columbia,District of Columbia,44443,8220,,,49755,8296,44830,15328,38427,13009,40821,9259,,,50417,34648,,,47667,13686,61000,24095,75515,56823,37468,19024,1875,87,95,60,1780,107,5.1,3.191352554,2631322.539,8045.826382,2631322.543,8045.826382
144,11001009503,1423608,0,Census Tract 95.03,District of Columbia,District of Columbia,118039,14816,,,125640,7107,132813,30769,81250,16298,108052,16074,,,,,,,,,,,140000,47804,,,1153,85,159,66,994,98,13.8,5.633198858,2356721.992,7013.536449,2356722.016,7013.536449
145,11001009504,1031803,0,Census Tract 95.04,District of Columbia,District of Columbia,83487,21963,,,135972,54004,,,73030,13057,73536,12703,,,,,,,,,,,129219,37307,112833,63281,1259,102,44,33,1215,99,3.5,2.605790291,1707988.612,5446.080921,1707988.637,5446.080921
146,11001009505,1032228,0,Census Tract 95.05,District of Columbia,District of Columbia,81169,27333,,,130341,58804,114044,37512,55000,7011,79393,15253,,,,,,,,,46078,16197,195833,49698,46042,44051,1291,90,164,77,1127,109,12.7,5.898255691,1709690.929,5908.075211,1709690.906,5908.075211
147,11001009507,295290,0,Census Tract 95.07,District of Columbia,District of Columbia,73750,26383,,,111667,28757,64500,44808,58438,19991,69688,19951,,,,,,,,,,,,,,,609,39,55,48,554,60,9,7.860525438,489046.8917,3201.833735,489046.8984,3201.833735
148,11001009508,933192,0,Census Tract 95.08,District of Columbia,District of Columbia,60638,10877,24181,18351,94375,42061,70125,48146,48438,9050,57375,13637,,,,,,,,,113250,69000,,,,,1560,144,174,104,1386,161,11.2,6.586683348,1545311.954,7486.208288,1545311.941,7486.208288
149,11001009509,648849,0,Census Tract 95.09,District of Columbia,District of Columbia,68750,25365,,,121859,9341,104063,15647,45703,12381,60707,12078,,,,,,,101797,27485,,,125721,12044,,,1308,75,87,61,1221,87,6.7,4.647987667,1074314.133,4315.350445,1074314.113,4315.350445
150,11001009601,1905262,179134,Census Tract 96.01,District of Columbia,District of Columbia,30948,5822,,,29632,4097,33811,12916,,,31379,5890,,,,,,,,,,,,,,,886,54,6,9,880,55,0.7,1.014962482,3154348.812,13426.0455,3154348.813,13426.0455
151,11001009602,1306698,77605,Census Tract 96.02,District of Columbia,District of Columbia,26712,4335,,,25455,10798,27622,5048,24167,12164,26807,4114,,,,,,,,,,,,,,,1780,98,60,58,1720,108,3.4,3.253137775,1762906.465,8258.562326,1762906.488,8258.562326
152,11001009603,607400,0,Census Tract 96.03,District of Columbia,District of Columbia,46353,7639,,,79063,14276,41159,13154,23250,15680,46856,7003,,,,,,,,,,,,,,,1659,118,126,81,1533,137,7.6,4.852482448,1004074.83,4905.972184,1004074.824,4905.972184
153,11001009604,503381,65762,Census Tract 96.04,District of Columbia,District of Columbia,62773,14420,,,95563,25952,48603,12149,63188,28267,57917,16310,,,,,,,,,39625,1469,111250,37176,64766,8790,969,54,29,26,940,53,3,2.677990189,832137.9725,3877.511073,832137.9609,3877.511073
154,11001009700,403051,6711,Census Tract 97,District of Columbia,District of Columbia,39750,16475,,,48993,24712,72417,58456,19464,4856,39750,16475,,,,,,,,,,,,,,,1074,108,0,12,1074,108,0,1.117318436,676275.6816,4351.241689,676275.6719,4351.241689
155,11001009801,431384,17249,Census Tract 98.01,District of Columbia,District of Columbia,21088,4025,,,33333,19791,18056,5635,15909,4351,20559,3721,,,,,,,,,,,,,,,879,52,6,10,873,53,0.7,1.136939543,740424.7545,4174.893236,740424.7266,4174.893236
156,11001009802,200745,0,Census Tract 98.02,District of Columbia,District of Columbia,19342,6828,,,17436,11253,,,,,19286,7561,,,,,,,,,,,,,78942,17423,704,55,27,21,677,60,3.8,2.967868158,331280.9618,2726.606031,331280.9688,2726.606031
157,11001009803,531060,0,Census Tract 98.03,District of Columbia,District of Columbia,31667,8606,,,49423,29051,33693,19303,20353,5249,31583,8214,,,,,,,,,,,,,,,1208,95,0,12,1208,95,0,0.993377483,876505.6433,4108.736595,876505.625,4108.736595
158,11001009804,518363,0,Census Tract 98.04,District of Columbia,District of Columbia,39417,5018,,,31983,12138,44333,14061,44837,17531,38789,6076,,,,,,,,,,,,,,,1031,54,34,22,997,58,3.3,2.126848506,855645.217,4803.752352,855645.2539,4803.752352
159,11001009807,1037012,0,Census Tract 98.07,District of Columbia,District of Columbia,49457,4526,,,51384,12668,49792,7960,,,49030,3972,,,,,,,,,,,,,,,1301,123,44,38,1257,130,3.4,2.90327609,1711261.367,6497.311796,1711261.344,6497.311796
160,11001009810,398419,14058,Census Tract 98.10,District of Columbia,District of Columbia,30822,8957,,,40176,7619,26016,10234,14475,9985,30325,9812,,,,,,,,,,,,,,,1196,66,62,50,1134,84,5.2,4.170802889,680628.9948,3614.493304,680629.0078,3614.493304
161,11001009811,467504,0,Census Tract 98.11,District of Columbia,District of Columbia,31432,1926,29489,28633,31590,2135,31522,13126,30962,22222,31372,1811,,,,,,,,,,,,,,,1856,104,71,68,1785,114,3.8,3.657517107,771412.7148,4573.462631,771412.707,4573.462631
162,11001009901,2102151,0,Census Tract 99.01,District of Columbia,District of Columbia,96518,22840,,,116757,36458,116111,57571,70179,33941,90625,18237,,,,,,,,,,,116858,33297,,,955,93,119,59,836,109,12.5,6.057668181,3473407.654,7642.718327,3473407.652,7642.718327
163,11001009902,1294559,0,Census Tract 99.02,District of Columbia,District of Columbia,57377,9907,,,78176,17941,55375,32510,47895,10865,56814,8618,,,,,,,,,,,,,,,1105,107,107,71,998,132,9.7,6.356554836,2138797.873,6873.748049,2138797.852,6873.748049
164,11001009903,383679,0,Census Tract 99.03,District of Columbia,District of Columbia,51023,19914,,,97500,45939,48125,23376,36094,25338,47472,17088,,,,,,,,,,,141625,51302,,,666,59,81,57,585,77,12.2,8.49046947,634188.7658,4146.321998,634188.793,4146.321998
