geo_id,name_x,total_pop,pct_male,median_age,pct_hisp_latino,pce_white,pct_black,pct_american_ind,pct_asian,pct_hawaiian_pacisldr,pct_other_race,name_y,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,per_cap_income,name_x,total_households,avg_household_size,avg_family_size,pop_in_households,pct_bach_degree,name_y,total_housing_units,occupied_housing_units,total_units_in_structure,units_built_after_2014,owner_occupied_units,renter_occupied_units
1400000US11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",5879,48.5,36.1,28.7,4.8,62.7,0.0,0.9,0.0,2.3,"Census Tract 18.04, District of Columbia, District of Columbia",3.9,35.2,38564,25800,"Census Tract 18.04, District of Columbia, District of Columbia",2186,2.68,3.74,5849,29.7,"Census Tract 18.04, District of Columbia, District of Columbia",2248,2186,2248,0,514,1672
1400000US11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",4315,47.3,36.7,19.9,16.1,59.6,0.0,2.7,0.0,0.5,"Census Tract 19.01, District of Columbia, District of Columbia",4.7,37.5,86927,39429,"Census Tract 19.01, District of Columbia, District of Columbia",1421,3.02,3.83,4295,51.6,"Census Tract 19.01, District of Columbia, District of Columbia",1633,1421,1633,0,1010,411
1400000US11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",2605,47.5,42.2,19.0,14.0,62.4,0.3,0.6,0.0,0.0,"Census Tract 19.02, District of Columbia, District of Columbia",6.1,41.5,84615,39303,"Census Tract 19.02, District of Columbia, District of Columbia",842,3.08,3.78,2590,38.7,"Census Tract 19.02, District of Columbia, District of Columbia",871,842,871,0,675,167
1400000US11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",3502,47.3,40.0,34.4,13.1,40.9,0.2,2.6,0.0,6.1,"Census Tract 20.01, District of Columbia, District of Columbia",3.2,33.0,63424,35039,"Census Tract 20.01, District of Columbia, District of Columbia",1061,3.21,4.19,3407,38.0,"Census Tract 20.01, District of Columbia, District of Columbia",1116,1061,1116,37,466,595
1400000US11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",4304,52.3,35.0,19.5,18.5,56.6,0.3,2.3,0.0,1.3,"Census Tract 20.02, District of Columbia, District of Columbia",4.8,32.4,95469,47823,"Census Tract 20.02, District of Columbia, District of Columbia",1297,3.26,3.92,4226,51.6,"Census Tract 20.02, District of Columbia, District of Columbia",1453,1297,1453,0,867,430
1400000US11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",5050,49.4,41.4,15.6,9.7,67.7,0.6,4.8,0.0,0.0,"Census Tract 21.01, District of Columbia, District of Columbia",3.2,31.3,62139,36099,"Census Tract 21.01, District of Columbia, District of Columbia",1864,2.71,3.82,5043,31.1,"Census Tract 21.01, District of Columbia, District of Columbia",2192,1864,2192,15,947,917
1400000US11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",5223,48.3,40.6,18.5,11.5,66.0,0.8,0.8,0.0,0.0,"Census Tract 21.02, District of Columbia, District of Columbia",6.5,35.6,83167,40632,"Census Tract 21.02, District of Columbia, District of Columbia",1968,2.64,3.52,5199,52.2,"Census Tract 21.02, District of Columbia, District of Columbia",2205,1968,2205,0,1248,720
1400000US11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",3169,49.4,41.1,15.6,23.5,54.0,1.1,2.6,0.0,0.0,"Census Tract 22.01, District of Columbia, District of Columbia",8.0,30.1,69643,44656,"Census Tract 22.01, District of Columbia, District of Columbia",1096,2.88,3.65,3154,43.2,"Census Tract 22.01, District of Columbia, District of Columbia",1164,1096,1164,0,930,166
1400000US11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",3476,56.4,33.8,26.7,12.8,57.2,0.0,0.8,0.0,0.0,"Census Tract 22.02, District of Columbia, District of Columbia",5.1,37.2,63750,34911,"Census Tract 22.02, District of Columbia, District of Columbia",1226,2.82,3.72,3459,41.3,"Census Tract 22.02, District of Columbia, District of Columbia",1480,1226,1480,0,604,622
1400000US11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",3599,49.2,39.3,17.5,26.6,49.6,0.0,1.9,0.0,1.0,"Census Tract 23.01, District of Columbia, District of Columbia",6.3,32.0,133672,53593,"Census Tract 23.01, District of Columbia, District of Columbia",1175,3.05,3.54,3583,53.0,"Census Tract 23.01, District of Columbia, District of Columbia",1241,1175,1241,0,910,265
