geo_id,name_x,median_age,pct_hisp_latino,pct_black,pct_asian,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,avg_household_size,pct_bach_degree,median_rent,pct_other_minority,pop_density,pct_renter_occupied
1400000US11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",42.2,19.0,62.4,0.6,6.1,41.5,84615,3.08,38.7,1202,0.3,2.9908151549942597,0.19173363949483352
1400000US11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",40.0,34.4,40.9,2.6,3.2,33.0,63424,3.21,38.0,1218,6.3,3.1379928315412187,0.5331541218637993
1400000US11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",35.0,19.5,56.6,2.3,4.8,32.4,95469,3.26,51.6,1327,1.6,2.9621472814865797,0.2959394356503785
1400000US11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",41.4,15.6,67.7,4.8,3.2,31.3,62139,2.71,31.1,1132,0.6,2.303832116788321,0.41833941605839414
1400000US11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",40.6,18.5,66.0,0.8,6.5,35.6,83167,2.64,52.2,1177,0.8,2.368707482993197,0.32653061224489793
1400000US11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",41.1,15.6,54.0,2.6,8.0,30.1,69643,2.88,43.2,1034,1.1,2.722508591065292,0.14261168384879724
1400000US11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",33.8,26.7,57.2,0.8,5.1,37.2,63750,2.82,41.3,1212,0.0,2.348648648648649,0.42027027027027025
1400000US11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",39.3,17.5,49.6,1.9,6.3,32.0,133672,3.05,53.0,1290,1.0,2.9000805801772764,0.21353746978243351
1400000US11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",44.0,4.4,51.0,3.8,2.8,33.7,53750,1.85,53.4,2099,2.7,1.815217391304348,0.6684782608695652
1400000US11001002400,"Census Tract 24, District of Columbia, District of Columbia",35.9,16.6,44.9,1.9,2.9,33.5,102424,2.91,59.1,1777,0.2,2.7508175277959452,0.3649444081098757
1400000US11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",34.8,33.3,42.9,1.2,1.3,36.7,79000,3.12,31.2,752,0.4,3.0229779411764706,0.5027573529411765
1400000US11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",34.7,35.3,33.6,3.4,3.8,33.7,75101,2.56,42.4,1339,0.0,2.4389413988657846,0.5984877126654065
1400000US11001002600,"Census Tract 26, District of Columbia, District of Columbia",42.7,7.5,36.9,6.0,4.7,33.0,184750,2.73,88.8,1425,1.5,2.5875875875875876,0.2972972972972973
1400000US11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",32.7,32.4,19.1,2.7,2.3,32.4,74161,2.27,62.7,1443,0.3,2.294248608534323,0.7220779220779221
1400000US11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",34.0,22.5,11.5,4.5,3.2,29.9,93553,2.58,68.5,1584,3.9,2.42563903950426,0.5298218435321457
1400000US11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",29.5,35.3,31.6,3.1,5.1,31.1,56310,2.53,47.6,1370,0.0,2.299722991689751,0.7578947368421053
1400000US11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",31.0,35.5,22.4,6.8,6.5,33.4,73889,2.39,56.5,1067,0.8,2.3724770642201833,0.7756880733944954
1400000US11001002900,"Census Tract 29, District of Columbia, District of Columbia",31.2,29.0,24.7,3.5,3.3,33.6,95052,2.84,61.9,1688,0.0,2.608490566037736,0.49292452830188677
1400000US11001003000,"Census Tract 30, District of Columbia, District of Columbia",30.7,21.0,32.9,4.4,4.2,31.8,93523,2.57,66.2,1395,0.3,2.3360552763819094,0.6099246231155779
1400000US11001003100,"Census Tract 31, District of Columbia, District of Columbia",33.6,31.5,29.4,5.6,4.6,34.2,109000,2.61,58.9,1626,1.0,2.4738751814223514,0.45355587808417996
1400000US11001003200,"Census Tract 32, District of Columbia, District of Columbia",32.3,19.2,48.6,5.0,8.9,34.7,101012,3.3,46.5,1334,0.0,2.8662486938349008,0.3605015673981191
1400000US11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",33.2,5.6,42.1,4.6,3.7,32.4,123868,2.66,78.0,3069,0.0,2.4571927781013394,0.28829353523587653
1400000US11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",32.8,4.8,36.4,5.3,3.2,32.5,127336,2.49,80.5,2027,1.2,2.227799227799228,0.3803088803088803
